overspeed,accel,decel,stop,start,cluster,score
52,559,223,37,149,31,82
217,862,392,39,156,23,55
262,555,74,37,148,13,74
29,601,263,112,338,48,69
71,609,76,0,76,5,89
19,801,100,0,450,68,62
216,642,247,98,247,10,77
35,1205,419,0,419,72,39
77,527,339,0,263,48,69
44,334,0,83,0,16,97
23,463,154,77,77,14,91
147,368,184,0,221,43,84
31,654,269,38,231,48,69
16,813,443,0,110,45,65
9,629,157,39,78,31,82
206,334,111,37,0,37,92
34,813,284,122,406,68,62
250,173,34,0,34,97,94
205,96,32,0,32,97,94
105,811,147,73,110,60,70
33,1610,378,94,0,6,44
85,1576,497,165,331,0,35
93,534,191,152,229,31,82
44,446,446,111,260,48,69
70,476,278,39,119,91,78
0,334,148,37,37,14,91
11,625,351,0,156,48,69
63,655,462,115,308,73,54
331,431,201,0,28,57,80
